coin_value_eur;timestamp
5452;1533800256337
5462.5;1533800361359
5461;1533800467819
5461;1533800572189
5460.1;1533800675896
5460.1;1533800779495
5450.6;1533800883587
5446;1533800989142
5445;1533801095076
5450.1;1533801201238
5451.1;1533801305334
5451.1;1533801409196
5458.7;1533801512976
5462;1533801617730
5464.4;1533801722743
5466.5;1533801827449
5464.5;1533801931444
5464.5;1533802035636
5464.5;1533802141211
5464.8;1533802245995
5459.4;1533802349493
5459.8;1533802453324
5459.7;1533802560976
5460.3;1533802664946
5460.7;1533802769341
5460.6;1533802875167
5460.6;1533802980228
5462;1533803085558
5460;1533803190509
5450;1533803293911
5451.6;1533803404260
5449.5;1533803512236
5420;1533803618761
5432.5;1533803723472
5439.9;1533803828426
5448.8;1533803932340
5438.8;1533804036518
5439.7;1533804140340
5444.7;1533804244569
5455.7;1533804348554
5449.8;1533804453585
5451.8;1533804562983
5453.8;1533804670784
5454.8;1533804776837
5455.1;1533804880750
5457;1533804984953
5447.5;1533805089878
5455.5;1533805193950
5456.1;1533805298008
5459.7;1533805403375
5459.7;1533805506318
5459.5;1533805613582
5454.8;1533805727718
5459;1533805831846
5462.4;1533805936510
5459.8;1533806043301
5463;1533806146713
5457;1533806253728
5462.2;1533806357956
5467.4;1533806461651
5475.3;1533806566431
5469.5;1533806671646
5466.7;1533806776926
5466.8;1533806880596
5470;1533806986017
5469.4;1533807089714
5467.7;1533807195131
5463.1;1533807305710
5457.7;1533807414182
5462;1533807521865
5456.6;1533807626999
5455.7;1533807730732
5469;1533807836356
5468.3;1533807941572
5467.3;1533808045720
5466.6;1533808151400
5469.4;1533808255763
5471.7;1533808359503
5471.7;1533808466295
5472.9;1533808570971
5477.1;1533808674676
5475.7;1533808779216
5474.6;1533808883956
5470;1533808988517
5466.6;1533809097650
5462;1533809201925
5461.6;1533809306996
5465.1;1533809416719
5463.3;1533809521147
5464.3;1533809625533
5463.6;1533809732810
5460;1533809838133
5460.1;1533809942330
5455;1533810046851
5455.3;1533810150472
5459.4;1533810260336
5459.6;1533810364646
5462.7;1533810470104
5461.8;1533810574953
5465.5;1533810680561
5471;1533810784373
5471.5;1533810894696
5471.5;1533810999616
5480;1533811102982
5482.7;1533811210040
5483.7;1533811318082
5482.5;1533811422007
5485.1;1533811526122
5489.2;1533811629845
5485;1533811734165
5485;1533811838410
5485;1533811945880
5485.1;1533812049659
5485.1;1533812154892
5485.1;1533812257726
5485;1533812362125
5485.1;1533812465819
5485.2;1533812570044
5485.2;1533812673729
5485.3;1533812778094
5485.2;1533812881382
5485.2;1533812985302
5485.1;1533813089516
5479.1;1533813308996
5471.5;1533813412885
5466.3;1533813516647
5461.2;1533813620862
5457.9;1533813724852
5459.2;1533813828688
5461;1533813939865
5459.5;1533814046639
5461.3;1533814151328
5461.2;1533814255780
5461.3;1533814359660
5462.1;1533814463932
5466.4;1533814567949
5462.4;1533814672561
5465.1;1533814778950
5457.3;1533814885572
5451.7;1533814989393
5457;1533815094273
5465.6;1533815198503
5464.6;1533815302833
5462.3;1533815412622
5468.5;1533815515978
5462.6;1533815625866
5464.3;1533815730852
5465.1;1533815838995
5464.8;1533815952307
5465.3;1533816057194
5459.7;1533816160344
5447.1;1533816270927
5440.5;1533816378165
5444;1533816595970
5443.1;1533816699646
5438;1533816803349
5430.5;1533816906789
5438.7;1533817013859
5439.3;1533817117654
5408.8;1533817222446
5400;1533817327522
5395.8;1533817441270
5392;1533817546183
5403.9;1533817649443
5397;1533817754230
5398.3;1533817868720
5406.5;1533817976649
5402.7;1533818083945
5414.1;1533818188445
5407.2;1533818292784
5409.5;1533818396977
5400.5;1533818503675
5394.2;1533818609080
5400.3;1533818716947
5402.8;1533818827467
5407;1533818935862
5404.5;1533819052162
5407.4;1533819156081
5407.3;1533819261133
5407;1533819368890
5400.2;1533819477842
5400.2;1533819587132
5406.9;1533819690976
5409.6;1533819795015
5412;1533819905623
5410;1533820009446
5402;1533820114363
5400;1533820228240
5373.8;1533820335288
5391.4;1533820445823
5398.6;1533820550827
5398.4;1533820654240
5395.2;1533820761979
5400;1533820868600
5397;1533820976637
5388.7;1533821080097
5381.1;1533821310308
5374.6;1533821419687
5366.4;1533821523518
5358.8;1533821628252
5372.2;1533821732872
5378.4;1533821837865
5399.6;1533821941586
5419.5;1533822045771
5430.1;1533822153236
5436;1533822257576
5475;1533822360725
5583.7;1533822467760
5549.1;1533822571964
5555;1533822675330
5535.7;1533822783645
5530;1533822897516
5536.3;1533823001509
5551.9;1533823107276
5560.8;1533823211450
5528;1533823315786
5538.4;1533823420038
5543.9;1533823524361
5553;1533823629317
5590;1533823732164
5568;1533823836475
5579;1533823939837
5585.1;1533824045986
5597.1;1533824151698
5592.4;1533824256309
5590;1533824365711
5580.1;1533824475835
5572.5;1533824579297
5572.3;1533824683522
5580.2;1533824787576
5582.6;1533824891875
5588.1;1533825001135
5596.3;1533825106537
5589.8;1533825210684
5584.8;1533825315218
5585.6;1533825419541
5586.5;1533825523775
5589.9;1533825628331
5589.8;1533825733946
5586;1533825838947
5586.5;1533825942348
5597.3;1533826169367
5593.3;1533826389145
5599;1533826493370
5599.9;1533826597508
5647.7;1533826702450
5626;1533826816912
5646.4;1533826927514
